Factor,Spandau,Zoo Garten,Hauptbahnhof,Alexanderplatz,"Pankow							"
Cleanliness,4.33,3.67,3.67,3,3
Congestion,3.75,2.5,1.75,3,3
Safety,4,4,3.33,3.33,3.67
AirQualAvg,5.1,8.7,27,13.63,3.67
Time,11:09,11:50,12:11,12:58,13:25
Weather info,"18, 3mph, sunny","19, 4mph, sunny","20, 5mph, sunny","21, 4mph, sunny","21, 4mph, sunny"
Location,"52.534722, 13.198611","52.506778, 13.332972","52.525861, 13.368778","52.521611, 13.411528","52.566667, 13.412167"
